"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Migrating Ketradon","G","C","222209","3.95","63187","4.79","354424","90.4%","56.8%","61474","55.0%","87942","59.3%","149416","57.5%","202148","56.1%","1.3pp"
"Molt Tender","G","U","93834","3.95","25566","4.82","136158","86.3%","56.7%","24380","61.6%","31849","54.2%","56229","57.4%","79174","56.3%","1.2pp"
"Ooze Patrol","G","U","111985","4.85","18203","6.76","72180","65.3%","54.5%","12097","52.7%","17916","55.8%","30013","54.6%","41929","54.5%","0.1pp"
"Oviya, Automech Artisan","G","R","30636","3.19","5341","4.09","20397","64.4%","53.0%","3434","52.1%","4788","54.1%","8222","53.3%","12117","52.8%","0.5pp"
"Plow Through","G","U","80858","3.34","20401","4.26","110634","89.1%","55.4%","18626","53.4%","27394","56.8%","46020","55.4%","64277","55.3%","0.1pp"
"Point the Way","G","U","141939","7.11","14754","10.95","7692","8.7%","47.3%","1421","40.8%","1812","45.8%","3233","43.6%","4380","49.9%","-6.3pp"
"Pothole Mole","G","C","278383","4.84","64376","6.29","326201","82.0%","56.6%","57741","57.3%","78257","56.3%","135998","56.7%","189213","56.6%","0.1pp"
"Regal Imperiosaur","G","R","19343","2.06","9813","2.14","55250","91.2%","56.5%","9747","59.0%","13675","56.6%","23422","57.6%","31559","55.6%","2.0pp"
"Rise from the Wreck","G","U","117747","5.05","20860","7.03","77707","61.1%","54.6%","12799","49.8%","19032","56.5%","31831","53.8%","45783","55.2%","-1.4pp"
"Run Over","G","C","182444","3.13","60202","3.82","348392","93.8%","56.5%","58540","55.5%","87090","58.6%","145630","57.3%","201163","55.7%","1.6pp"
"Silken Strength","G","C","358098","7.47","46725","10.74","68963","24.1%","54.7%","11492","53.3%","16451","55.5%","27943","54.6%","40709","54.7%","-0.1pp"
"Stampeding Scurryfoot","G","C","203232","3.57","66448","4.27","384518","92.9%","57.2%","68994","59.7%","93455","57.8%","162449","58.6%","217844","56.0%","2.6pp"
"Terrian, World Tyrant","G","U","81335","3.55","21961","4.32","117370","86.0%","56.9%","19413","55.8%","27220","57.4%","46633","56.7%","60066","55.7%","1.1pp"
"Thunderous Velocipede","G","M","6452","1.42","4496","1.40","25009","91.1%","55.8%","4370","56.8%","6141","57.8%","10511","57.4%","14086","54.4%","3.0pp"
"Veloheart Bike","G","C","288392","5.01","50970","6.98","224608","72.0%","55.4%","40002","55.9%","53914","55.3%","93916","55.6%","129210","55.3%","0.3pp"
"Venomsac Lagac","G","C","254357","4.25","54862","5.74","308868","91.6%","56.0%","55545","56.6%","73123","55.4%","128668","55.9%","178072","56.1%","-0.2pp"
"Webstrike Elite","G","R","21468","2.19","9819","2.31","54907","91.1%","56.4%","9616","57.1%","13425","57.8%","23041","57.5%","31451","55.5%","2.0pp"
"Aatchik, Emerald Radian","BG","R","21864","2.44","9905","2.43","50059","82.3%","56.4%","8352","53.7%","12991","61.3%","21343","58.3%","28219","54.7%","3.6pp"
"Apocalypse Runner","BR","U","125455","5.87","17931","8.15","44054","41.0%","53.5%","7367","51.8%","10893","54.8%","18260","53.6%","25599","53.5%","0.1pp"
"Boom Scholar","RG","U","99674","4.53","18802","5.86","75888","67.0%","54.1%","13208","53.6%","17963","53.6%","31171","53.6%","44445","54.3%","-0.7pp"
"Boosted Sloop","UR","U","111788","5.10","20105","6.65","69979","59.1%","52.7%","11986","52.4%","20510","55.0%","32496","54.0%","37054","51.6%","2.5pp"
"Brightglass Gearhulk","WG","M","11364","2.56","3576","2.64","13076","59.9%","56.5%","2200","60.4%","2985","60.7%","5185","60.5%","7718","53.8%","6.7pp"
"Broadside Barrage","UR","U","95915","4.25","22802","5.24","102603","74.0%","55.4%","17702","55.3%","29916","59.9%","47618","58.2%","53742","52.8%","5.4pp"
"Broodheart Engine","BG","U","91075","4.12","23980","4.93","110836","75.5%","55.9%","19492","55.4%","27605","57.8%","47097","56.9%","63110","55.1%","1.7pp"
"Captain Howler, Sea Scourge","UR","R","27261","2.94","8956","3.02","38715","72.1%","54.6%","6696","59.5%","11527","58.4%","18223","58.8%","20117","50.6%","8.3pp"
"Caradora, Heart of Alacria","WG","R","27339","2.95","7982","3.22","35844","73.2%","55.8%","5968","56.7%","8313","58.5%","14281","57.8%","21341","54.5%","3.2pp"
"Cloudspire Coordinator","WR","U","115649","5.50","14910","7.67","42612","47.7%","53.1%","7473","56.3%","9865","52.9%","17338","54.4%","25271","52.3%","2.1pp"
"Cloudspire Skycycle","WR","U","116538","5.44","14565","7.68","40956","47.7%","50.8%","6832","48.2%","9577","51.8%","16409","50.3%","24188","51.0%","-0.7pp"
"Coalstoke Gearhulk","BR","M","12214","2.71","3668","2.83","13350","61.4%","53.6%","2245","52.3%","3441","57.5%","5686","55.4%","7490","51.9%","3.5pp"
"Debris Beetle","BG","R","19859","2.21","10786","2.17","56379","84.1%","57.3%","9676","60.4%","14397","62.1%","24073","61.4%","30662","53.5%","7.9pp"
"Dune Drifter","WB","U","117695","5.22","19108","7.25","59557","52.0%","53.7%","9924","51.1%","15354","56.0%","25278","54.1%","33874","53.3%","0.8pp"
"Embalmed Ascendant","WB","U","104726","4.71","21889","5.91","82017","61.2%","56.2%","14112","58.4%","21308","59.8%","35420","59.2%","46117","53.7%","5.6pp"
"Explosive Getaway","WR","R","32609","3.43","7658","4.07","27980","61.0%","53.3%","4748","53.6%","7115","57.3%","11863","55.8%","15971","51.5%","4.3pp"
"Far Fortune, End Boss","BR","R","21436","2.43","9282","2.40","44497","78.0%","55.7%","7767","57.8%","11563","60.5%","19330","59.4%","24730","52.3%","7.1pp"
"Fearless Swashbuckler","UR","R","34634","3.63","8011","4.31","29403","61.7%","53.1%","5057","55.1%","8630","55.6%","13687","55.4%","15532","51.0%","4.4pp"
"Gastal Thrillseeker","BR","U","100219","4.71","20696","5.64","80271","63.4%","56.4%","14141","61.4%","20306","58.7%","34447","59.8%","45664","53.8%","6.0pp"
"Guidelight Pathmaker","WU","U","107743","4.81","21710","6.16","82139","62.9%","54.2%","13409","53.3%","22603","58.8%","36012","56.8%","42784","51.1%","5.7pp"
"Haunt the Network","UB","U","81647","3.73","28420","4.13","137384","78.9%","55.8%","23250","54.4%","38496","62.9%","61746","59.7%","73287","52.0%","7.7pp"
"Haunted Hellride","UB","U","117523","5.36","19557","7.26","56544","48.7%","52.3%","9901","51.4%","15034","54.2%","24935","53.1%","31218","51.5%","1.6pp"
"Ketramose, the New Dawn","WB","M","18486","3.85","2564","5.49","1361","9.0%","47.4%","254","","330","","584","46.9%","771","47.6%","-0.7pp"
"Kolodin, Triumph Caster","WR","R","34350","3.72","5865","4.54","18854","54.8%","50.6%","3333","51.8%","4441","50.7%","7774","51.2%","11078","50.3%","0.9pp"
"Lagorin, Soul of Alacria","WG","U","93526","4.31","16679","5.54","66474","65.9%","55.2%","11878","58.4%","14750","52.8%","26628","55.3%","38401","54.9%","0.4pp"
"Loot, the Pathfinder","URG","M","8548","1.93","5121","1.83","26704","84.1%","57.4%","4667","61.5%","7186","65.5%","11853","63.9%","14482","51.9%","12.0pp"
"Mendicant Core, Guidelight","WU","R","26794","2.95","7900","3.13","33046","70.4%","53.6%","5779","56.7%","8784","56.1%","14563","56.3%","18210","51.3%","5.0pp"
"Mimeoplasm, Revered One","UBG","M","17188","3.53","3764","4.29","10548","48.0%","51.0%","1744","46.3%","2761","54.0%","4505","51.0%","5933","50.8%","0.2pp"
"Oildeep Gearhulk","UB","M","11062","2.46","4171","2.50","17634","70.1%","54.8%","2922","56.7%","4643","59.8%","7565","58.6%","8643","50.2%","8.4pp"
"Pyrewood Gearhulk","RG","M","9698","2.20","4279","2.08","19698","74.8%","56.0%","3279","56.7%","4818","63.7%","8097","60.8%","11434","52.4%","8.4pp"
"Rangers' Aetherhive","UG","U","95586","4.33","23037","5.28","92110","66.4%","54.9%","15631","54.7%","24366","55.1%","39997","54.9%","51105","54.7%","0.2pp"
"Redshift, Rocketeer Chief","RG","R","35268","3.72","7100","4.55","25626","60.2%","54.1%","4558","56.4%","5940","52.7%","10498","54.3%","15087","53.9%","0.4pp"
"Riptide Gearhulk","WU","M","10177","2.36","4134","2.27","17627","69.4%","57.4%","3061","61.2%","4387","63.9%","7448","62.8%","7763","48.1%","14.7pp"
