"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Spectral Denial","U","U","27137","6.79","6296","8.58","19690","51.4%","55.6%","3438","55.1%","5509","59.3%","8947","57.7%","10530","53.6%","4.0pp"
"Stillness in Motion","U","R","4918","2.39","190","","46","4.0%","","8","","12","","20","","25","",""
"Taigam, Master Opportunist","U","M","1184","1.35","569","1.37","2902","86.9%","54.8%","506","53.6%","760","55.8%","1266","54.9%","1598","54.4%","0.5pp"
"Temur Devotee","U","C","67411","7.16","11105","9.79","37631","56.5%","54.2%","6799","53.9%","9800","54.8%","16599","54.4%","20753","54.0%","0.4pp"
"Unending Whisper","U","C","69537","8.04","15649","10.24","41111","42.9%","55.4%","7263","55.0%","10890","58.6%","18153","57.2%","22709","54.0%","3.1pp"
"Ureni's Rebuff","U","U","19641","4.12","3354","5.59","15743","78.6%","55.2%","2649","52.8%","4311","59.7%","6960","57.1%","8627","53.6%","3.5pp"
"Veteran Ice Climber","U","U","23449","5.13","3147","7.07","11016","59.2%","53.3%","1997","53.6%","2800","56.2%","4797","55.1%","6118","51.7%","3.4pp"
"Wingblade Disciple","U","U","16637","3.33","4886","3.88","25641","87.7%","55.6%","4502","55.6%","7016","59.1%","11518","57.7%","13771","53.6%","4.1pp"
"Wingspan Stride","U","C","70944","9.78","11005","12.94","1892","2.7%","47.8%","304","","471","","775","48.9%","1115","47.0%","1.9pp"
"Winternight Stories","U","R","2282","1.25","1065","1.28","5642","88.3%","56.0%","952","56.7%","1518","61.7%","2470","59.8%","3129","53.1%","6.7pp"
"Abzan Devotee","B","C","67300","6.91","9394","9.64","28871","51.0%","54.0%","5367","55.4%","6297","52.8%","11664","54.0%","17167","53.9%","0.0pp"
"Adorned Crocodile","B","C","70553","8.75","9114","12.12","5920","10.6%","52.9%","990","53.5%","1398","53.9%","2388","53.8%","3524","52.3%","1.4pp"
"Aggressive Negotiations","B","C","70045","8.70","10753","11.52","13053","19.5%","55.2%","2208","54.4%","2992","55.9%","5200","55.3%","7786","55.2%","0.0pp"
"Alchemist's Assistant","B","U","19605","4.02","2311","5.73","11059","80.3%","54.4%","1970","55.8%","2415","53.4%","4385","54.5%","6649","54.3%","0.2pp"
"Alesha's Legacy","B","C","69348","7.92","7146","11.52","7366","16.9%","52.5%","1245","51.9%","1631","53.3%","2876","52.7%","4473","52.4%","0.3pp"
"Avenger of the Fallen","B","R","2148","1.24","907","1.27","4841","86.4%","57.0%","861","57.1%","1119","58.8%","1980","58.1%","2834","56.1%","1.9pp"
"Caustic Exhale","B","C","33310","2.80","7259","3.51","40103","90.9%","56.3%","6976","56.7%","9822","59.3%","16798","58.2%","22945","54.8%","3.4pp"
"Corroding Dragonstorm","B","U","24580","5.47","2945","7.74","7701","44.6%","50.9%","1407","46.3%","1943","54.6%","3350","51.1%","4282","51.0%","0.1pp"
"Cruel Truths","B","C","70764","8.76","8818","12.23","4196","7.8%","50.5%","743","47.4%","946","51.4%","1689","49.6%","2491","51.0%","-1.4pp"
"Delta Bloodflies","B","C","68555","7.45","5279","11.08","8008","24.8%","53.4%","1467","53.4%","1652","51.4%","3119","52.3%","4879","54.1%","-1.8pp"
"Desperate Measures","B","U","24774","5.51","2686","8.17","7286","44.9%","53.4%","1172","52.7%","1623","54.3%","2795","53.6%","4480","53.2%","0.5pp"
"Dragon's Prey","B","C","36824","3.08","7446","4.00","40984","92.2%","54.6%","6816","52.6%","10044","58.2%","16860","56.0%","23766","53.6%","2.4pp"
"Feral Deathgorger","B","C","64405","6.34","11153","8.86","41800","62.6%","53.1%","7064","50.8%","11597","56.0%","18661","54.1%","24056","52.6%","1.5pp"
"Gurmag Rakshasa","B","U","19525","4.02","1351","6.03","4556","55.1%","54.9%","740","55.0%","1099","55.5%","1839","55.3%","2704","54.5%","0.8pp"
"Hundred-Battle Veteran","B","U","23277","4.94","2074","7.16","6765","55.0%","52.1%","1114","49.0%","1561","51.1%","2675","50.2%","4078","53.4%","-3.1pp"
"Kin-Tree Nurturer","B","C","62144","5.85","4886","9.04","14913","50.6%","54.8%","2567","56.1%","3368","55.3%","5935","55.6%","8951","54.2%","1.5pp"
"Krumar Initiate","B","U","21171","4.37","2493","6.05","10769","72.9%","53.8%","2025","52.7%","2345","53.9%","4370","53.4%","6371","54.1%","-0.8pp"
"Nightblade Brigade","B","C","66492","6.90","8987","9.57","28366","51.4%","55.1%","4892","55.3%","6255","53.5%","11147","54.3%","17176","55.6%","-1.3pp"
"Qarsi Revenant","B","R","1834","1.05","1146","1.05","6172","86.6%","57.4%","1075","60.9%","1541","62.2%","2616","61.7%","3522","53.9%","7.7pp"
"Rot-Curse Rakshasa","B","M","1725","1.76","598","1.79","2659","74.1%","55.0%","466","","597","56.6%","1063","55.6%","1593","54.7%","0.9pp"
"Salt Road Skirmish","B","U","14856","3.01","2510","3.81","13438","88.9%","55.6%","2282","54.9%","3147","57.9%","5429","56.6%","7944","54.9%","1.7pp"
"Sandskitter Outrider","B","C","64624","6.40","3944","10.29","6530","26.8%","55.5%","1108","54.8%","1448","55.9%","2556","55.4%","3962","55.6%","-0.2pp"
"Scavenger Regent","B","R","1840","1.04","1316","1.04","7501","93.3%","56.2%","1280","59.1%","2102","61.7%","3382","60.7%","4233","53.0%","7.7pp"
"The Sibsig Ceremony","B","R","4854","2.36","233","","45","3.4%","","10","","11","","21","","24","",""
"Sidisi, Regent of the Mire","B","R","2762","1.46","370","","1371","60.6%","54.5%","235","","316","","551","53.9%","806","54.8%","-0.9pp"
"Sinkhole Surveyor","B","R","1926","1.12","1107","1.12","5995","87.5%","56.0%","1127","63.9%","1347","56.1%","2474","59.6%","3486","53.4%","6.2pp"
"Strategic Betrayal","B","U","19653","4.05","1842","5.86","7222","65.8%","54.0%","1273","52.2%","1713","57.3%","2986","55.1%","4198","53.1%","1.9pp"
"Unburied Earthcarver","B","C","69823","8.07","7985","11.44","11481","23.5%","52.5%","2074","51.8%","2453","50.8%","4527","51.2%","6948","53.3%","-2.1pp"
"Unrooted Ancestor","B","U","24351","5.48","2186","8.38","5303","41.3%","52.7%","951","51.3%","1256","52.9%","2207","52.2%","3093","53.1%","-0.9pp"
"Venerated Stormsinger","B","U","14989","3.03","2198","3.84","11512","86.6%","56.6%","1915","56.1%","2519","58.0%","4434","57.2%","7067","56.3%","0.9pp"
"Wail of War","B","U","21084","4.45","1526","7.04","4237","46.3%","53.5%","723","50.3%","977","56.0%","1700","53.6%","2518","53.3%","0.3pp"
"Worthy Cost","B","C","62000","5.86","5232","8.98","14847","47.1%","53.8%","2462","50.9%","3317","54.8%","5779","53.2%","9040","54.2%","-1.1pp"
"Yathan Tombguard","B","U","17961","3.63","1631","4.90","7367","78.0%","52.9%","1279","52.0%","1689","52.5%","2968","52.3%","4377","53.2%","-0.9pp"
"Breaching Dragonstorm","R","U","25021","5.51","4922","6.84","17158","59.0%","53.5%","2835","53.0%","4730","56.3%","7565","55.0%","9402","52.1%","2.9pp"
"Channeled Dragonfire","R","U","16632","3.36","3285","4.39","17743","87.6%","57.3%","3049","56.3%","4203","59.6%","7252","58.2%","10454","56.6%","1.6pp"
"Cori-Steel Cutter","R","R","2229","1.25","1587","1.26","9221","93.7%","57.7%","1677","62.4%","2226","60.2%","3903","61.1%","5253","55.0%","6.2pp"
"Devoted Duelist","R","C","69260","7.83","14700","9.86","49117","53.9%","56.5%","8844","55.5%","10485","54.9%","19329","55.2%","29721","57.4%","-2.3pp"
"Dracogenesis","R","M","2405","2.38","233","","137","10.2%","","20","","34","","54","","83","",""
"Equilibrium Adept","R","U","21774","4.52","4695","5.86","23489","80.8%","57.5%","3952","57.1%","5436","57.4%","9388","57.3%","14001","57.6%","-0.4pp"
"Fire-Rim Form","R","C","69542","7.94","8097","11.22","10888","21.3%","57.8%","1707","57.2%","2280","55.0%","3987","55.9%","6896","58.8%","-2.9pp"
"Fleeting Effigy","R","U","25996","6.06","5358","7.44","22499","67.4%","57.7%","4100","58.3%","4792","56.7%","8892","57.5%","13586","57.9%","-0.5pp"
"Iridescent Tiger","R","U","27076","6.71","5154","9.01","11632","37.0%","54.3%","1996","52.6%","2988","55.9%","4984","54.6%","6552","54.0%","0.6pp"
"Jeskai Devotee","R","C","64942","6.33","10371","8.76","40254","62.1%","57.4%","7249","58.2%","9061","55.4%","16310","56.7%","23859","57.8%","-1.1pp"
"Magmatic Hellkite","R","R","2247","1.25","1485","1.26","8436","93.8%","55.7%","1397","55.8%","2077","57.1%","3474","56.6%","4877","54.8%","1.8pp"
"Meticulous Artisan","R","C","66628","6.87","5941","10.65","7207","19.4%","54.7%","1242","55.6%","1727","54.1%","2969","54.7%","4207","54.6%","0.1pp"
"Molten Exhale","R","C","37486","3.07","14878","3.63","88332","96.6%","57.1%","15326","57.6%","22032","59.6%","37358","58.8%","50418","55.8%","3.0pp"
"Narset's Rebuke","R","C","58384","5.28","8500","7.74","33546","64.7%","55.3%","5603","53.4%","9002","57.2%","14605","55.7%","18914","55.1%","0.6pp"
"Overwhelming Surge","R","U","16684","3.32","3112","4.33","15891","85.1%","55.8%","2644","55.5%","3730","56.4%","6374","56.0%","9481","55.6%","0.4pp"
"Rescue Leopard","R","C","68597","7.43","10960","10.34","25084","36.5%","57.0%","4349","56.5%","5501","55.6%","9850","56.0%","15203","57.8%","-1.8pp"
"Reverberating Summons","R","U","28353","7.91","4396","10.84","3608","13.2%","54.0%","616","48.4%","806","53.2%","1422","51.1%","2185","55.8%","-4.7pp"
"Sarkhan, Dragon Ascendant","R","R","1928","1.18","810","1.19","4150","82.1%","56.4%","751","58.2%","1004","58.6%","1755","58.4%","2378","54.8%","3.7pp"
"Seize Opportunity","R","C","69776","8.37","10964","11.29","15399","22.3%","57.6%","2527","53.7%","3244","56.6%","5771","55.3%","9640","58.8%","-3.5pp"
"Shock Brigade","R","C","54829","4.71","11888","5.85","67891","90.7%","58.6%","12415","60.0%","14360","56.2%","26775","57.9%","41058","59.0%","-1.1pp"
"Shocking Sharpshooter","R","U","16603","3.31","5690","3.75","33460","93.5%","59.0%","5961","60.7%","7236","58.8%","13197","59.6%","20207","58.5%","1.1pp"
